shortdate,Close,Diff,next_day_close,next_day_diff,next_day_plus_diff,plus_diff,comment_count,rocket,gem,clown,joy,hands,bear,gorilla,money_face,rofl,rainbow,flex,cry,think,smile,fire,eyes,upchart,pray,downchart,mbag,plead,corn,egg,drops,huff,FD,DD,YOLO,ATH,HODL,DFV,MOON,STONKS,TENDIES,GAYBEARS,BAGHOLDER,DIAMONDHANDS,PAPERHANDS,JPOW,DEGENERATES,BTD,BHSL,HTL,WLTS,ATS
2021-05-17,576.8300170898438,1.280029296875,577.8699951171875,9.8699951171875,1,1,1225,9,1,11,15,1,7,1,0,9,3,0,1,5,3,1,0,0,0,2,1,0,2,1,0,0,3,0,5,2,1,0,7,2,0,0,3,0,1,0,1,0,0,0,0,0
2021-05-18,577.8699951171875,9.8699951171875,563.4600219726562,10.9100341796875,1,1,1034,15,0,8,9,0,3,1,0,2,2,1,3,6,5,2,1,1,1,0,0,0,0,0,0,0,2,1,2,1,0,0,11,4,2,3,7,1,0,0,0,3,0,0,0,0
2021-05-19,563.4600219726562,10.9100341796875,586.780029296875,11.780029296875,1,1,676,5,9,10,11,6,3,0,0,1,1,0,3,2,1,0,1,0,0,0,1,0,1,0,0,0,1,1,4,1,0,0,4,0,3,2,3,2,0,0,0,1,0,0,0,0
2021-05-20,586.780029296875,11.780029296875,580.8800048828125,-15.22998046875,0,1,646,6,2,7,2,2,2,0,0,1,1,0,1,3,0,0,3,2,1,0,0,2,0,0,0,0,3,0,2,4,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0
2021-05-21,580.8800048828125,-15.22998046875,606.4400024414062,24.84002685546875,1,0,742,11,1,9,5,0,2,0,1,1,6,0,2,3,1,0,1,1,1,1,0,0,0,2,1,0,3,1,4,0,0,0,2,0,0,0,2,2,0,0,1,0,0,0,1,0
2021-05-24,606.4400024414062,24.84002685546875,604.6900024414062,-2.6199951171875,0,1,633,17,4,8,2,0,4,1,1,1,2,0,1,4,0,0,2,5,2,0,0,0,1,2,0,0,0,2,2,1,0,0,6,3,3,1,1,0,0,0,0,0,0,0,0,0
2021-05-25,604.6900024414062,-2.6199951171875,619.1300048828125,11.57000732421875,1,0,427,29,2,3,1,2,1,1,1,1,1,1,0,1,2,1,0,0,0,0,1,1,0,0,0,1,1,0,3,0,0,0,5,1,1,0,1,0,0,0,0,2,0,0,1,0
2021-05-26,619.1300048828125,11.57000732421875,630.8499755859375,10.6099853515625,1,1,402,14,1,6,5,1,0,0,1,1,1,0,0,2,7,0,1,0,1,0,0,0,0,0,0,0,0,3,1,1,0,0,8,1,0,1,0,1,0,0,0,0,0,1,0,0
2021-05-27,630.8499755859375,10.6099853515625,625.219970703125,-3.280029296875,0,1,456,9,1,3,3,0,1,0,0,2,1,0,0,4,1,1,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0
2021-06-01,623.9000244140625,-3.89996337890625,605.1199951171875,-15.010009765625,0,0,253,12,0,0,2,0,1,0,0,2,1,0,2,0,0,1,1,0,2,0,0,0,0,1,1,0,0,1,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-06-02,605.1199951171875,-15.010009765625,572.8400268554688,-28.9599609375,0,0,288,4,0,6,6,0,1,0,0,1,1,0,2,2,1,0,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,1,4,1,3,0,1,0,0,0,0,0,0,0,0,0
2021-06-03,572.8400268554688,-28.9599609375,599.0499877929688,19.3399658203125,1,0,627,10,2,4,3,0,1,0,0,1,0,0,2,2,2,1,1,1,1,1,0,1,1,0,1,0,2,0,3,2,0,0,7,2,2,0,3,1,0,0,1,2,0,0,0,0
2021-06-04,599.0499877929688,19.3399658203125,605.1300048828125,13.29998779296875,1,1,380,6,1,0,4,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,2,0,0,0,0,5,5,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0
2021-06-07,605.1300048828125,13.29998779296875,603.5900268554688,-19.41998291015625,0,1,310,5,0,1,3,0,2,0,0,1,1,0,1,2,2,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,3,2,1,0,0,0,0,0,0,2,0,0,0,0
2021-06-08,603.5900268554688,-19.41998291015625,598.780029296875,-3.38995361328125,0,0,330,8,0,1,3,0,0,1,3,0,1,0,1,1,2,0,1,0,1,0,0,0,0,0,1,0,0,2,2,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0
2021-06-09,598.780029296875,-3.38995361328125,610.1199951171875,6.239990234375,1,0,288,4,0,1,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,3,3,0,0,0,4,3,2,1,0,1,0,1,1,0,0,0,0,0
2021-06-10,610.1199951171875,6.239990234375,609.8900146484375,-0.3399658203125,0,1,367,8,1,1,4,0,1,1,0,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,5,3,1,0,1,6,1,2,0,0,0,1,0,0,0,0,1,0,1
2021-06-11,609.8900146484375,-0.3399658203125,617.6900024414062,5.46002197265625,1,0,440,10,1,2,14,0,0,2,2,0,1,0,0,2,0,1,2,0,0,1,1,0,0,0,0,1,2,2,2,1,0,0,5,2,2,0,1,1,0,0,1,2,0,0,0,0
2021-06-14,617.6900024414062,5.46002197265625,599.3599853515625,-17.33001708984375,0,1,259,10,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,4,1,0,0,1,0,0,0,0,1,0,0,0,0
2021-06-15,599.3599853515625,-17.33001708984375,604.8699951171875,7.33001708984375,1,0,174,4,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
2021-06-16,604.8699951171875,7.33001708984375,616.5999755859375,14.7099609375,1,1,361,11,0,0,2,0,3,0,0,0,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
2021-06-17,616.5999755859375,14.7099609375,623.3099975585938,9.94000244140625,1,1,322,4,1,2,2,2,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,1,0,1,0,0,0,0,1,0,0,0,0,0
2021-06-18,623.3099975585938,9.94000244140625,620.8300170898438,-3.64996337890625,0,1,350,8,0,2,3,0,5,0,3,0,7,1,1,1,3,0,1,2,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,3,0,1,0,0,1,0,0,0,0,0,0
2021-06-21,620.8300170898438,-3.64996337890625,623.7100219726562,5.46002197265625,1,0,257,16,0,0,1,1,2,1,0,1,2,0,2,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
2021-06-22,623.7100219726562,5.46002197265625,656.5700073242188,24.57000732421875,1,1,160,2,0,1,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2021-06-23,656.5700073242188,24.57000732421875,679.8200073242188,4.83001708984375,1,1,715,26,4,6,4,2,4,2,3,1,4,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,1,4,1,4,0,1,5,1,5,0,2,0,0,2,0,0,0,0,0,0
2021-06-24,679.8200073242188,4.83001708984375,671.8699951171875,-17.71002197265625,0,1,1412,75,4,15,11,0,4,1,1,2,6,2,3,3,4,0,4,1,2,0,0,0,1,5,3,2,8,3,9,1,0,0,9,0,2,1,4,3,2,1,0,5,0,0,0,0
2021-06-25,671.8699951171875,-17.71002197265625,688.719970703125,17.0799560546875,1,0,619,19,1,5,5,0,2,4,0,3,5,2,1,1,0,2,4,1,0,0,0,0,0,0,0,0,1,1,5,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0
2021-06-28,688.719970703125,17.0799560546875,680.760009765625,-3.8900146484375,0,1,415,17,3,1,1,2,0,2,1,3,3,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0
2021-06-29,680.760009765625,-3.8900146484375,679.7000122070312,-0.07000732421875,0,0,235,5,0,4,1,0,1,1,0,1,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,2,1,2,0,0,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0
