shortdate,Close,Diff,next_day_close,next_day_diff,next_day_plus_diff,plus_diff,comment_count,rocket,gem,clown,joy,hands,bear,gorilla,money_face,rofl,rainbow,flex,cry,think,smile,fire,eyes,upchart,pray,downchart,mbag,plead,corn,egg,drops,huff,FD,DD,YOLO,ATH,HODL,DFV,MOON,STONKS,TENDIES,GAYBEARS,BAGHOLDER,DIAMONDHANDS,PAPERHANDS,JPOW,DEGENERATES,BTD,BHSL,HTL,WLTS,ATS
2020-12-15,633.25,-10.030029296875,622.77001953125,-5.4599609375,0,0,1556,31,3,6,6,2,8,0,2,3,5,0,3,0,4,0,0,1,4,2,1,1,0,2,0,1,3,8,23,5,0,0,9,4,13,0,0,4,2,0,1,3,0,1,0,0
2020-12-16,622.77001953125,-5.4599609375,655.9000244140625,27.71002197265625,1,0,1654,27,5,9,3,0,8,0,2,2,6,1,3,3,6,0,1,2,1,0,0,5,0,0,0,6,7,5,24,5,0,0,16,12,17,1,2,4,4,5,4,5,0,2,0,0
2020-12-17,655.9000244140625,27.71002197265625,695.0,26.0999755859375,1,1,1918,36,4,8,7,1,9,0,5,5,8,1,4,6,3,1,5,4,5,0,1,3,0,5,3,1,7,8,23,15,0,0,14,11,17,2,1,2,6,2,0,1,0,0,0,0
2020-12-18,695.0,26.0999755859375,649.8599853515625,-16.3800048828125,0,1,5132,101,9,41,40,6,19,0,5,14,17,2,2,3,6,3,9,7,4,5,0,5,0,5,4,7,9,7,32,13,0,0,35,17,40,0,3,12,5,0,0,8,1,2,0,0
2020-12-21,649.8599853515625,-16.3800048828125,640.3400268554688,-7.65997314453125,0,0,2382,32,6,14,26,1,7,0,0,6,5,1,2,5,3,1,4,3,1,3,0,3,0,1,4,2,7,5,16,11,0,0,10,12,22,1,0,2,2,1,0,8,0,0,0,0
2020-12-22,640.3400268554688,-7.65997314453125,645.97998046875,13.77996826171875,1,0,2143,33,5,6,8,1,8,0,3,2,6,0,2,3,1,2,3,0,1,0,0,3,0,0,0,1,4,9,14,4,0,0,15,12,14,3,4,0,3,3,0,4,0,1,0,0
2020-12-23,645.97998046875,13.77996826171875,661.77001953125,18.780029296875,1,1,1245,38,1,8,2,0,3,0,1,3,6,1,3,3,0,0,1,2,8,0,2,2,0,1,0,0,7,7,19,1,0,0,7,4,13,1,2,1,1,0,0,0,0,0,0,0
2020-12-28,663.6900024414062,-10.82000732421875,665.989990234375,4.989990234375,1,0,950,22,4,7,8,3,5,0,0,2,4,0,1,1,2,2,6,1,0,0,0,1,0,6,3,1,0,8,18,6,0,0,6,1,7,1,0,1,0,0,0,1,0,0,0,0
2020-12-29,665.989990234375,4.989990234375,694.780029296875,22.780029296875,1,1,655,18,2,2,3,0,1,0,0,0,0,0,1,2,1,0,3,1,4,0,0,1,0,2,0,0,2,1,8,2,0,0,4,3,5,0,0,1,1,0,0,1,0,0,0,0
2020-12-30,694.780029296875,22.780029296875,705.6699829101562,5.67999267578125,1,1,1369,50,10,5,5,4,3,0,1,2,2,1,3,3,4,0,2,2,7,0,6,3,0,6,2,4,3,8,7,16,0,0,5,2,9,0,0,2,2,0,1,1,0,0,0,0
2021-01-04,729.77001953125,10.30999755859375,735.1099853515625,11.45001220703125,1,1,1493,35,3,11,10,1,13,0,4,1,12,1,4,2,4,1,1,0,3,1,0,0,0,2,2,3,4,1,8,13,0,0,5,9,6,2,2,3,1,0,0,7,0,0,0,0
2021-01-05,735.1099853515625,11.45001220703125,755.97998046875,-2.510009765625,0,1,1824,46,3,23,20,1,12,0,1,3,10,1,4,2,4,1,3,4,2,2,1,1,1,2,1,0,8,9,17,7,0,0,13,9,10,1,2,1,5,1,0,3,0,0,0,0
2021-01-06,755.97998046875,-2.510009765625,816.0399780273438,38.40997314453125,1,0,2331,94,6,23,20,0,9,0,5,3,8,2,4,6,4,0,4,9,3,2,0,2,0,4,1,0,6,6,23,15,0,0,16,10,14,2,1,2,4,1,1,4,0,0,0,0
